SAMPLE	SHOTN	ARCH1	ARCH2	ARCH3	RATIO21	RATIO31	DELTA	XCOM	YCOM	NEWX	NEWY
carb2	5	11191.05248	13051.33316	6959.73204	1.16623	0.6219	0.0271	1.13929	0.62485	0.02694	-0.00295
carb2	15	16322.91132	18726.1806	9609.64272	1.14723	0.58872	0.03699			0.00794	-0.03613
carb2	19	11723.91192	13819.88392	7350.41472	1.17878	0.62696	0.03954			0.03949	0.00211
carb2	2	15458.55428	17055.80876	10069.98264	1.10332	0.65142	0.04471			-0.03597	0.02657
carb2	4	12338.49424	14473.7588	8063.634	1.17306	0.65353	0.04431			0.03377	0.02868
carb2	3	13616.67272	16173.63232	8590.0302	1.18778	0.63085	0.04886			0.04849	0.006
carb2	1	15032.06552	17502.38528	10047.50228	1.16434	0.6684	0.05024			0.02505	0.04355
carb2	29	16070.6724	17556.9706	9400.902	1.09249	0.58497	0.06149			-0.0468	-0.03988
carb2	8	13068.49232	15555.12084	7539.06376	1.19028	0.57689	0.07			0.05099	-0.04796
carb2	16	15785.05444	18764.12212	9056.61512	1.18873	0.57375	0.0711			0.04944	-0.0511
carb2	27	10853.80372	11615.28116	6855.13392	1.07016	0.63159	0.06946			-0.06913	0.00674
carb2	14	12923.40324	15505.25036	8474.99884	1.19978	0.65579	0.06794			0.06049	0.03094
carb2	13	7637.51428	8927.23392	4194.11044	1.16887	0.54915	0.08128			0.02958	-0.0757
carb2	11	14063.70476	16398.01344	9805.15208	1.16598	0.6972	0.07711			0.02669	0.07235
carb2	30	12131.87588	13446.97156	8480.83292	1.1084	0.69905	0.08038			-0.03089	0.0742
carb2	18	12606.54704	13637.1074	6984.97284	1.08175	0.55408	0.09121			-0.05754	-0.07077
carb2	20	12046.7232	12933.8422	6762.88168	1.07364	0.56139	0.09131			-0.06565	-0.06346
carb2	21	5575.44428	5928.53368	3184.76236	1.06333	0.57121	0.09299			-0.07596	-0.05364
carb2	24	11920.68392	12828.35208	8243.94248	1.07614	0.69157	0.09186			-0.06315	0.06672
carb2	12	13081.2544	15509.41284	9268.85348	1.18562	0.70856	0.09568			0.04633	0.08371
