SAMPLE,SHOTN,ARCH1,ARCH2,ARCH3,RATIO21,RATIO31,DELTA,XCOM,YCOM,NEWX,NEWY
Empty,30,5646.9318,5132.91128,3243.11984,0.90897,0.57432,0.08916,0.98866,0.61432,-0.07969,-0.04
Empty,29,3909.5824,4833.60156,2712.37032,1.23635,0.69377,0.26012,,,0.24769,0.07945
Empty,28,5409.314,4351.52156,2083.02172,0.80445,0.38508,0.29408,,,-0.18421,-0.22924
Empty,27,5528.28476,5214.10224,2784.80272,0.94317,0.50374,0.11957,,,-0.04549,-0.11058
Empty,26,4358.78176,4511.46148,4111.94956,1.03503,0.94337,0.3323,,,0.04637,0.32905
Empty,25,5828.273,6162.76232,3684.4808,1.05739,0.63217,0.07101,,,0.06873,0.01785
Empty,24,4249.18384,4161.65068,3373.42164,0.9794,0.7939,0.17982,,,-0.00926,0.17958
Empty,23,5663.19212,5726.37264,3262.50172,1.01116,0.57609,0.04436,,,0.0225,-0.03823
Empty,22,6363.25164,6393.28884,3167.01896,1.00472,0.4977,0.11772,,,0.01606,-0.11662
Empty,21,1745.48428,1924.90068,1325.89444,1.10279,0.75961,0.18476,,,0.11413,0.14529
Empty,20,5344.0046,5387.673,4667.07228,1.00817,0.87333,0.25974,,,0.01951,0.25901
Empty,19,5696.4932,4956.55148,3011.86604,0.87011,0.52872,0.14623,,,-0.11855,-0.0856
Empty,18,5714.2402,5344.24716,3515.04884,0.93525,0.61514,0.05342,,,-0.05341,8.18447E-4
Empty,17,11540.81264,11534.83764,7683.56984,0.99948,0.66577,0.05258,,,0.01082,0.05145
Empty,16,5365.98308,6262.28232,3030.86944,1.16703,0.56483,0.18511,,,0.17837,-0.04949
Empty,15,3040.82448,2626.45936,1420.70068,0.86373,0.46721,0.193,,,-0.12493,-0.14711
Empty,14,7504.11328,6787.57928,4521.48792,0.90451,0.60253,0.08497,,,-0.08415,-0.01179
Empty,13,7550.60208,6726.31284,4869.36896,0.89083,0.6449,0.1025,,,-0.09783,0.03058
Empty,12,6875.97268,7324.78032,4746.03256,1.06527,0.69023,0.10785,,,0.07661,0.07591
Empty,11,3907.67416,3577.55796,1729.32712,0.91552,0.44255,0.1867,,,-0.07314,-0.17177
Empty,10,5532.08276,6118.81952,3139.4092,1.10606,0.56749,0.1264,,,0.1174,-0.04683
Empty,9,6137.68568,5500.45008,3734.27832,0.89618,0.60842,0.09267,,,-0.09248,-0.0059
Empty,8,8897.43164,7660.48876,4704.0472,0.86098,0.5287,0.15373,,,-0.12768,-0.08562
Empty,7,5697.8432,5636.61036,4003.62388,0.98925,0.70266,0.08834,,,5.9333E-4,0.08834
Empty,6,15950.67436,15837.76736,11229.20028,0.99292,0.704,0.08978,,,0.00426,0.08968
Empty,5,4797.58424,4741.44956,3359.51956,0.9883,0.70025,0.08593,,,-3.60614E-4,0.08593
Empty,4,6424.55432,5515.02164,4184.2824,0.85843,0.6513,0.13538,,,-0.13023,0.03698
Empty,3,7829.77508,7025.17988,4362.97108,0.89724,0.55723,0.10778,,,-0.09142,-0.05709
Empty,2,3235.50472,3615.95096,1741.80036,1.11758,0.53834,0.14965,,,0.12892,-0.07598
Empty,1,2886.7532,3607.16608,1201.38084,1.24956,0.41617,0.32761,,,0.2609,-0.19815
,,,,,,,--,,,--,--
