SAMPLE,SHOTN,ARCH1,ARCH2,ARCH3,RATIO21,RATIO31,DELTA,XCOM,YCOM,NEWX,NEWY
carbo,30,11885.82128,13677.91236,7664.32056,1.15078,0.64483,0.07739,1.21424,0.60054,-0.06346,0.04429
carbo,29,4406.17228,5152.5878,2667.94756,1.1694,0.6055,0.04511,,,-0.04484,0.00496
carbo,28,7248.67516,9293.8552,4479.98772,1.28215,0.61804,0.07012,,,0.06791,0.0175
carbo,27,7709.86676,10271.29064,4975.55072,1.33223,0.64535,0.12621,,,0.11799,0.04481
carbo,26,13661.22272,14537.46064,9011.76048,1.06414,0.65966,0.16132,,,-0.1501,0.05912
carbo,25,6342.03572,6575.65652,3343.42256,1.03684,0.52718,0.19197,,,-0.1774,-0.07336
carbo,24,4611.67312,5238.8298,2793.63044,1.13599,0.60577,0.07842,,,-0.07825,0.00523
carbo,23,6222.4516,8164.25416,3179.3978,1.31206,0.51096,0.13265,,,0.09782,-0.08958
carbo,22,6625.92408,7644.59468,4029.41912,1.15374,0.60813,0.06097,,,-0.0605,0.00759
carbo,21,8872.85244,11934.78436,4882.37004,1.34509,0.55026,0.14018,,,0.13085,-0.05028
carbo,20,8507.1332,9951.02156,6303.28056,1.16973,0.74094,0.14729,,,-0.04451,0.1404
carbo,19,5971.47424,7965.01984,3675.63208,1.33384,0.61553,0.12054,,,0.1196,0.01499
carbo,18,6287.41584,6876.4202,3033.19132,1.09368,0.48242,0.16878,,,-0.12056,-0.11812
carbo,17,7245.92072,7927.9824,3774.16868,1.09413,0.52087,0.14413,,,-0.12011,-0.07967
carbo,16,5849.16424,7463.91376,2905.399,1.27606,0.49672,0.12083,,,0.06182,-0.10382
carbo,15,4125.76664,6187.92912,3197.93132,1.49983,0.77511,0.33472,,,0.28559,0.17457
carbo,14,6238.17704,8369.30596,3328.27104,1.34163,0.53353,0.14394,,,0.12739,-0.06701
carbo,13,10105.09632,11628.25252,5829.90084,1.15073,0.57693,0.06776,,,-0.06351,-0.02361
carbo,12,4978.20252,6624.0502,3216.2618,1.33061,0.64607,0.12496,,,0.11637,0.04553
carbo,11,2412.6442,2912.1022,910.33084,1.20702,0.37732,0.22334,,,-0.00722,-0.22322
carbo,10,5525.55552,6844.85288,2585.7326,1.23876,0.46796,0.13483,,,0.02452,-0.13258
carbo,9,3582.89308,4929.38708,2644.97144,1.37581,0.73822,0.21228,,,0.16157,0.13768
carbo,8,12311.16452,11954.77288,6955.40036,0.97105,0.56497,0.24578,,,-0.24319,-0.03557
carbo,7,7049.70684,8359.11492,4626.23016,1.18574,0.65623,0.06256,,,-0.0285,0.05569
carbo,6,6190.113,7447.73592,4733.73228,1.20317,0.76472,0.16456,,,-0.01107,0.16418
carbo,5,6938.8808,9612.16,4699.13108,1.38526,0.67722,0.18742,,,0.17102,0.07668
carbo,4,6323.7046,7286.81092,3636.5482,1.1523,0.57507,0.06697,,,-0.06194,-0.02547
carbo,3,6360.5816,6966.491,3678.00064,1.09526,0.57825,0.12105,,,-0.11898,-0.02229
carbo,2,7490.22568,9481.59168,4632.03924,1.26586,0.61841,0.05463,,,0.05162,0.01787
carbo,1,5225.72736,5614.1642,3312.89176,1.07433,0.63396,0.14384,,,-0.13991,0.03342
,,,,,,,--,,,--,--
