SAMPLE	SHOTN	ARCH1	ARCH2	ARCH3	RATIO21	RATIO31	DELTA	XCOM	YCOM	NEWX	NEWY
glass	30	3780.91496	1806.00184	2190.48068	0.47766	0.57935	0.1838	0.66081	0.59485	-0.18315	-0.0155
glass	29	6387.09248	3626.00168	3965.22864	0.56771	0.62082	0.09666			-0.0931	0.02597
glass	28	4869.66124	4089.18932	4052.32972	0.83973	0.83216	0.2972			0.17892	0.23731
glass	27	4406.39432	2835.5696	2548.14076	0.64351	0.57828	0.02395			-0.0173	-0.01657
glass	26	9392.165	7097.2798	7365.06172	0.75566	0.78417	0.21175			0.09485	0.18932
glass	25	9059.7044	5215.88084	5394.50108	0.57572	0.59544	0.08509			-0.08509	5.88973E-4
glass	24	5973.06248	3713.9024	3140.87064	0.62178	0.52584	0.07929			-0.03903	-0.06901
glass	23	1732.18572	1199.11796	756.09188	0.69226	0.4365	0.16145			0.03145	-0.15835
glass	22	6659.38352	4086.602	4399.7138	0.61366	0.66068	0.08097			-0.04715	0.06583
glass	21	9466.64604	6887.68056	6225.75188	0.72757	0.65765	0.09166			0.06676	0.0628
glass	20	5383.26524	3454.95972	3402.9508	0.6418	0.63214	0.04185			-0.01901	0.03729
glass	19	10888.05148	6807.77128	6696.23188	0.62525	0.61501	0.04087			-0.03556	0.02016
glass	18	7623.5924	5761.84844	4750.06204	0.75579	0.62307	0.09909			0.09498	0.02822
glass	17	5896.41148	4366.16936	4219.7622	0.74048	0.71565	0.14471			0.07967	0.1208
glass	16	5805.03316	4484.96732	3377.75216	0.7726	0.58187	0.11254			0.11179	-0.01298
glass	15	5650.70264	3187.75288	2724.65972	0.56413	0.48218	0.14846			-0.09668	-0.11267
glass	14	5878.9246	4071.01336	3067.06636	0.69248	0.52171	0.0797			0.03167	-0.07314
glass	13	6004.39392	3995.27352	3380.93144	0.66539	0.56308	0.0321			0.00458	-0.03177
glass	12	5568.14216	4088.71656	2893.0306	0.73431	0.51957	0.10521			0.0735	-0.07528
glass	11	5046.74404	3800.483	2339.98984	0.75306	0.46366	0.16037			0.09225	-0.13119
glass	10	7105.78176	4141.65956	3890.79016	0.58286	0.54755	0.09118			-0.07795	-0.0473
glass	9	5222.18496	3738.21644	3560.62188	0.71583	0.68183	0.10292			0.05502	0.08698
glass	8	4666.6854	3710.831	2422.90048	0.79517	0.51919	0.1542			0.13436	-0.07566
glass	7	5898.3648	3441.03016	3170.22136	0.58339	0.53747	0.09637			-0.07742	-0.05738
glass	6	10519.55484	6913.03508	6422.95876	0.65716	0.61057	0.01614			-0.00365	0.01572
glass	5	6502.85324	4436.54952	3541.12032	0.68225	0.54455	0.05468			0.02144	-0.0503
glass	4	5494.91224	2542.72596	2694.3478	0.46274	0.49034	0.22395			-0.19807	-0.10451
glass	3	7060.67468	3885.79972	4282.4612	0.55034	0.60652	0.11108			-0.11047	0.01167
glass	2	5625.32404	3564.16908	4443.07108	0.63359	0.78983	0.19687			-0.02722	0.19498
glass	1	4859.2918	3403.2	2569.17028	0.70035	0.52871	0.07705			0.03954	-0.06614
							--			--	--
