SAMPLE	SHOTN	ARCH1	ARCH2	ARCH3	RATIO21	RATIO31	DELTA	XCOM	YCOM	NEWX	NEWY
melam	30	5460.23444	8898.5188	3634.79708	1.6297	0.66569	0.26234	1.37246	0.61417	0.25724	0.05152
melam	29	8660.01652	10948.84116	4363.92272	1.2643	0.50392	0.15445			-0.10816	-0.11025
melam	28	7903.66228	12022.71272	5123.0328	1.52116	0.64818	0.15254			0.1487	0.03401
melam	27	6070.98236	9233.94064	4409.15984	1.521	0.72627	0.18609			0.14854	0.1121
melam	26	7047.16292	10627.71272	4283.78148	1.50808	0.60787	0.13577			0.13562	-0.0063
melam	25	6763.864	9735.81224	5039.59024	1.43939	0.74508	0.14702			0.06693	0.13091
melam	24	6317.9906	8246.65076	3312.95884	1.30526	0.52437	0.11216			-0.0672	-0.0898
melam	23	3990.15388	6439.81024	2787.73016	1.61393	0.69865	0.25582			0.24147	0.08448
melam	22	7091.96408	10843.3148	3599.782	1.52896	0.50759	0.18935			0.1565	-0.10658
melam	21	5788.81508	7968.3444	3746.47152	1.37651	0.64719	0.03327			0.00405	0.03302
melam	20	6584.88292	9245.41472	3439.96128	1.40404	0.5224	0.09705			0.03158	-0.09177
melam	19	5053.46384	6720.01056	3435.41124	1.32978	0.67981	0.0783			-0.04268	0.06564
melam	18	7222.72172	10120.21288	4279.55192	1.40116	0.59251	0.03596			0.0287	-0.02166
melam	17	7487.77492	10113.14236	4357.68072	1.35062	0.58197	0.03891			-0.02184	-0.0322
melam	16	6082.90312	8391.75144	3736.14176	1.37956	0.6142	0.0071			0.0071	3.37258E-5
melam	15	7826.00328	10905.21952	5502.3916	1.39346	0.70309	0.09137			0.021	0.08892
melam	14	3225.35328	4417.10212	1704.5818	1.36949	0.52849	0.08573			-0.00297	-0.08568
melam	13	9160.7452	11272.30132	5656.98256	1.2305	0.61752	0.142			-0.14196	0.00335
melam	12	7844.97284	10766.49944	4225.94196	1.37241	0.53868	0.07549			-5.25157E-5	-0.07549
melam	11	3925.07872	4906.55964	1835.00824	1.25005	0.46751	0.19103			-0.12241	-0.14666
melam	10	9548.46116	11818.34424	4446.36156	1.23772	0.46566	0.20052			-0.13474	-0.14851
melam	9	6276.18352	7884.87792	4097.64204	1.25632	0.65289	0.12243			-0.11614	0.03872
melam	8	5872.46164	6410.11988	3246.7712	1.09156	0.55288	0.28751			-0.2809	-0.06129
melam	7	6751.8832	10494.37252	4643.00996	1.55429	0.68766	0.19612			0.18183	0.07349
melam	6	6776.14316	9723.68852	6922.46988	1.43499	1.02159	0.41219			0.06253	0.40742
melam	5	7090.54156	10042.64176	4609.75016	1.41634	0.65013	0.05673			0.04388	0.03596
melam	4	6304.2744	7571.73328	3531.91096	1.20105	0.56024	0.1797			-0.17141	-0.05393
melam	3	7499.60108	8533.99824	4148.60924	1.13793	0.55318	0.24233			-0.23453	-0.06099
melam	2	10443.66172	13407.467	5415.99096	1.28379	0.51859	0.13038			-0.08867	-0.09558
melam	1	7470.8636	10239.66372	4791.42184	1.37061	0.64135	0.02724			-0.00185	0.02718
							--			--	--
