SAMPLE	SHOTN	ARCH1	ARCH2	ARCH3	RATIO21	RATIO31	DELTA	XCOM	YCOM	NEWX	NEWY
water	30	9460.64608	11366.85764	5929.37012	1.20149	0.62674	0.12118	1.31734	0.66227	-0.11585	-0.03553
water	29	11928.11584	16779.57172	8027.325	1.40672	0.67298	0.09002			0.08938	0.01071
water	28	12487.34628	17795.05376	8342.08044	1.42505	0.66804	0.10786			0.10771	0.00577
water	27	6118.33692	6659.84408	3086.00296	1.08851	0.50439	0.27802			-0.22883	-0.15788
water	26	14289.055	16719.22404	9918.9248	1.17007	0.69416	0.15068			-0.14727	0.03189
water	25	10962.36304	13539.47936	6856.1432	1.23509	0.62543	0.09013			-0.08225	-0.03684
water	24	10171.22504	15562.28316	6931.76244	1.53003	0.68151	0.21356			0.21269	0.01924
water	23	12524.9242	16145.11196	7833.43172	1.28904	0.62543	0.04646			-0.0283	-0.03684
water	22	13460.15596	19605.65252	9168.7932	1.45657	0.68118	0.14051			0.13923	0.01891
water	21	9710.4832	13970.09536	6789.2094	1.43866	0.69916	0.12681			0.12132	0.03689
water	20	10638.44956	14741.20264	13270.4728	1.38565	1.24741	0.58911			0.06831	0.58514
water	19	10542.30492	13975.9	6818.26468	1.3257	0.64675	0.01762			0.00836	-0.01552
water	18	15292.21544	19281.82352	9426.06428	1.26089	0.6164	0.07274			-0.05645	-0.04587
water	17	10176.0542	13795.01688	7251.60304	1.35564	0.71261	0.06325			0.0383	0.05034
water	16	17995.89616	14879.88136	7929.22216	0.82685	0.44061	0.53825			-0.49049	-0.22166
water	15	12408.54336	15124.75216	9361.66344	1.2189	0.75445	0.13486			-0.09844	0.09218
water	14	11847.7118	15335.31276	8445.7832	1.29437	0.71286	0.05556			-0.02297	0.05059
water	13	11710.71236	16996.4118	8334.65028	1.45136	0.71171	0.14285			0.13402	0.04944
water	12	12852.59244	15653.7766	6518.77324	1.21795	0.5072	0.18419			-0.09939	-0.15507
water	11	11304.70452	16863.64532	7876.99092	1.49174	0.69679	0.17778			0.1744	0.03452
water	10	10652.00176	12366.63128	6250.04156	1.16097	0.58675	0.17365			-0.15637	-0.07552
water	9	13945.9844	18186.34428	8855.0916	1.30406	0.63496	0.03037			-0.01328	-0.02731
water	8	11039.76272	14878.88348	8103.02088	1.34775	0.73399	0.0779			0.03041	0.07172
water	7	9582.78228	13973.47752	6655.77908	1.45819	0.69456	0.1445			0.14085	0.03229
water	6	6375.2948	9582.85132	3502.71156	1.50312	0.54942	0.21737			0.18578	-0.11285
water	5	7876.02472	10391.99188	4954.77868	1.31945	0.6291	0.03324			0.00211	-0.03317
water	4	5853.55632	8161.02588	3515.69216	1.3942	0.60061	0.09854			0.07686	-0.06166
water	3	10378.20232	15123.04324	6502.44016	1.45719	0.62655	0.14434			0.13985	-0.03572
water	2	7171.3044	9267.06264	5558.6094	1.29224	0.77512	0.11561			-0.0251	0.11285
water	1	7371.85684	8941.23084	3768.80924	1.21289	0.51124	0.18363			-0.10445	-0.15103
							--			--	--
